RunNo, ExperimentNo, InitialTrainingSeed, TestingSeed, LearningRate, DiscountRate, Epsilon, RewardType, MeanReward, MeanStopped, MeanWaitingTime, MeanAverageSpeed, MeanAverageSpeed2, MeanAverageSpeedCrossCheck, 
2, DoE-37, -, 280, 0.5, 0.8, 0.2, diff-waiting-time, -0.000 +/- 0.553, 6.644 +/- 1.402, 92.454 +/- 40.435, 0.377 +/- 0.048, 6.997 +/- 0.879, 8.115 +/- 0.568,
2, DoE-38, -, 280, 0.5, 0.8, 0.2, average-speed-2, 3.537 +/- 1.070, 25.572 +/- 9.525, 2026.550 +/- 1473.801, 0.190 +/- 0.059, 3.537 +/- 1.070, 5.044 +/- 1.330,
2, DoE-39, -, 280, 0.5, 0.8, 0.3, diff-waiting-time, -0.000 +/- 0.650, 8.790 +/- 1.880, 140.740 +/- 53.684, 0.333 +/- 0.042, 6.183 +/- 0.724, 7.541 +/- 0.523,
2, DoE-40, -, 280, 0.5, 0.8, 0.3, average-speed-2, 3.478 +/- 1.051, 26.058 +/- 9.287, 1903.400 +/- 1409.475, 0.187 +/- 0.058, 3.478 +/- 1.051, 4.995 +/- 1.251,
2, DoE-41, -, 280, 0.5, 0.8, 0.4, diff-waiting-time, -0.000 +/- 0.648, 8.073 +/- 1.640, 128.618 +/- 55.461, 0.344 +/- 0.050, 6.390 +/- 0.860, 7.703 +/- 0.550,
2, DoE-42, -, 280, 0.5, 0.8, 0.4, average-speed-2, 4.080 +/- 0.899, 19.593 +/- 7.268, 1126.403 +/- 1145.880, 0.220 +/- 0.050, 4.080 +/- 0.899, 5.673 +/- 0.907,
2, DoE-43, -, 280, 0.5, 0.9, 0.2, diff-waiting-time, -0.000 +/- 0.594, 7.396 +/- 1.581, 109.842 +/- 45.657, 0.360 +/- 0.048, 6.699 +/- 0.849, 7.911 +/- 0.586,
2, DoE-44, -, 280, 0.5, 0.9, 0.2, average-speed-2, 4.468 +/- 1.098, 17.803 +/- 7.153, 1412.074 +/- 1126.014, 0.241 +/- 0.060, 4.468 +/- 1.098, 6.000 +/- 1.210,
2, DoE-45, -, 280, 0.5, 0.9, 0.3, diff-waiting-time, -0.000 +/- 0.648, 8.073 +/- 1.640, 128.618 +/- 55.461, 0.344 +/- 0.050, 6.390 +/- 0.860, 7.703 +/- 0.550,
2, DoE-46, -, 280, 0.5, 0.9, 0.3, average-speed-2, 2.929 +/- 0.525, 29.502 +/- 4.993, 678.614 +/- 357.537, 0.158 +/- 0.029, 2.929 +/- 0.525, 4.468 +/- 0.492,
2, DoE-47, -, 280, 0.5, 0.9, 0.4, diff-waiting-time, -0.000 +/- 0.591, 7.305 +/- 1.397, 107.544 +/- 47.596, 0.362 +/- 0.050, 6.721 +/- 0.860, 7.934 +/- 0.571,
2, DoE-48, -, 280, 0.5, 0.9, 0.4, average-speed-2, 3.358 +/- 1.180, 28.547 +/- 12.112, 2420.880 +/- 1943.082, 0.181 +/- 0.064, 3.358 +/- 1.180, 4.832 +/- 1.421,
2, DoE-49, -, 280, 0.5, 0.99, 0.2, diff-waiting-time, -0.000 +/- 0.695, 8.953 +/- 1.664, 151.452 +/- 77.037, 0.328 +/- 0.049, 6.095 +/- 0.844, 7.485 +/- 0.544,
2, DoE-50, -, 280, 0.5, 0.99, 0.2, average-speed-2, 3.356 +/- 1.121, 27.931 +/- 11.994, 1949.075 +/- 1688.538, 0.181 +/- 0.061, 3.356 +/- 1.121, 4.840 +/- 1.367,
2, DoE-51, -, 280, 0.5, 0.99, 0.3, diff-waiting-time, -0.000 +/- 1.320, 8.005 +/- 1.635, 439.808 +/- 295.379, 0.356 +/- 0.048, 6.600 +/- 0.859, 7.845 +/- 0.595,
2, DoE-52, -, 280, 0.5, 0.99, 0.3, average-speed-2, 3.747 +/- 0.973, 22.607 +/- 6.571, 1729.275 +/- 1080.018, 0.202 +/- 0.053, 3.747 +/- 0.973, 5.292 +/- 1.172,
2, DoE-53, -, 280, 0.5, 0.99, 0.4, diff-waiting-time, -0.001 +/- 1.322, 8.459 +/- 1.572, 450.035 +/- 296.253, 0.345 +/- 0.047, 6.404 +/- 0.832, 7.710 +/- 0.594,
